51300054456,bge,270,25
51300113897,bfg,162,13
51300121723,cad,146,118
51300172342,afc,272,142
51300223209,gad,69,198
51300246314,fba,133,6
51300258639,fge,22,70
51300268620,dfb,61,33
51300321298,edb,91,7
51300339430,abe,208,109
51300362478,dca,267,240
51300381387,bce,22,61
51300389368,bab,82,8
51300451165,fdd,63,180
51300500578,eaf,98,147
51300549809,cac,174,96
51300563306,cgf,195,108
51300566750,dab,66,8
51300597184,fdf,149,297
51300624412,gec,197,12
51300676112,fee,75,162
51300677738,eef,69,25
51300749350,bae,207,215
51300776651,cgg,93,219
51300787568,gbc,149,146
51300799994,adc,158,222
51300846993,cfa,219,255
51300852454,baa,292,123
51300852877,cbe,159,66
51300860679,gcg,54,11
51300873168,bge,215,28
51300874331,cbb,111,235
51300884147,cfe,96,148
51300896586,cda,267,12
51300943429,gca,203,101
51300979928,gbd,263,107
51300989280,cee,269,213
51300993660,edg,242,252
51301006833,gac,45,199
51301009471,ecb,143,75
51301042669,cff,136,244
51301115387,eab,13,201
51301120168,dbf,60,117
51301124091,gfb,140,223
51301141509,aec,298,134
51301178613,gdd,83,186
51301184614,gea,42,160
51301210491,fce,268,135
51301249252,caa,66,291
51301250446,fdg,169,224
51301257096,gce,286,197
51301366083,ecd,214,143
51301368035,dad,110,104
51301386083,ffg,288,181
51301410332,ceg,156,97
51301430414,ddb,49,187
51301505512,dca,132,247
51301506512,ddd,13,81
51301511553,ceg,238,80
51301522066,cfb,293,170
51301525463,ecd,273,115
51301549078,deb,260,170
51301558271,fgc,73,137
51301616764,aed,19,213
51301670572,ebe,99,221
51301685105,gff,114,260
51301692272,aaa,104,81
51301712270,dba,39,180
51301721086,eeg,132,79
51301736746,fcd,146,284
51301754310,eae,214,15
51301768507,bbf,89,64
51301866488,edg,225,287
51301967737,eag,129,138
51301967999,cgc,122,16
51302038788,egb,275,123
51302046716,dfe,250,30
51302070104,gce,179,198
51302087951,fec,136,278
51302121882,cef,177,58
51302125091,gab,209,140
51302130471,fce,295,118
51302148310,eea,48,139
51302244678,eed,165,151
51302257206,edd,226,73
51302298921,gea,206,156
51302312266,bde,41,139
51302365130,bad,236,92
51302379829,fab,182,147
51302380791,ddf,263,244
51302384258,ffa,107,42
51302384763,aad,109,122
51302411257,agb,19,96
51302435407,ggb,222,234
51302464222,eca,41,261
51302476925,afa,146,289
51302485281,afb,276,14
51302493717,dbg,279,186
51302508634,dcg,18,40
51302513256,cab,28,252
51302521313,cdf,158,178
51302579237,agg,292,33
51302640212,cbb,96,237
51302666660,aag,255,258
51302684659,ade,169,80
51302734336,dga,78,133
51302780603,ffb,74,80
51302794063,ccd,199,213
51302801529,gba,17,179
51302812893,def,10,233
51302880066,gdg,172,174
51302884421,cab,60,272
